ID	IDX	DOCULECT	DOCULECTID	CONCEPT	CONCEPT_FROM_PROTO	CONCEPT_ADDED	VALUE	VALUE_UNCERTAIN	TOKENS	NOTE	SOURCE	PROTOFORM	PROTOCONCEPT	ENTRY_IN_SOURCE
99	§5	Kaxinawá	Kn	paca (Cuniculus paca)	1		anu		a n u			*ʔano	paca (Cuniculus paca)	Kn anu
100	§5	Marináwa	M	paca,  clase de roedor			ano		a n o			*ʔano	paca (Cuniculus paca)	M ano ‘paca;;  clase de roedor’
101	§5	Yawanawá	Yaw	paca (Cuniculus paca)	1		anu		a n u			*ʔano	paca (Cuniculus paca)	Yaw anu
105	§6	Kakataibo	Ksh	sufixo de concordância do intransitivo	1		-aʂ		a ʂ			*-ʔaʂ	sufixo de concordância do intransitivo	Ksh -aʂ
106	§6	ShipiboKonibo	SK	sufixo de concordância do intransitivo	1		-aʂ		a ʂ			*-ʔaʂ	sufixo de concordância do intransitivo	SK -aʂ
107	§6	Kapanawa	Kp	sufixo de concordância do intransitivo	1		-ʔaʂ		ʔ a ʂ			*-ʔaʂ	sufixo de concordância do intransitivo	Kp -ʔaʂ
108	§6	Chákobo	Ch	sufixo de concordância do intransitivo	1		-ʔaʂ		ʔ a ʂ			*-ʔaʂ	sufixo de concordância do intransitivo	Ch -ʔaʂ
109	§6	Amawáka	A	sufixo de concordância do intransitivo	1		ʔax		ʔ a x			*-ʔaʂ	sufixo de concordância do intransitivo	A ʔax
110	§6	Kaxinawá	Kn	sufixo de concordância do intransitivo	1		-a		a			*-ʔaʂ	sufixo de concordância do intransitivo	Kn -a
111	§6	Marináwa	M	sufixo de concordância do intransitivo	1		-aʂɨ		a ʂ ɨ			*-ʔaʂ	sufixo de concordância do intransitivo	M -aʂɨ
112	§7	Kakataibo	Ksh	pescar con veneno			ʔaˈʂã-		ʔ a ˈʂ ã			*ʔaʂ[an]-	tipo de veneno	Ksh ʔaˈʂã- ‘pescar con veneno’
113	§7	ShipiboKonibo	SK	tipo de veneno	1		ʔaˈʂã-		ʔ a ˈʂ ã			*ʔaʂ[an]-	tipo de veneno	SK ʔaˈʂã-
114	§7	Kapanawa	Kp	tipo de veneno	1		ʔaˈʂan-		ʔ a ˈʂ a n			*ʔaʂ[an]-	tipo de veneno	Kp ʔaˈʂan-
116	§7	Chákobo	Ch	pescar con veneno			ʔaʂa-		ʔ a ʂ a			*ʔaʂ[an]-	tipo de veneno	Ch ʔaʂa- ‘pescar con veneno’
118	§7	Yamináwa	Yam	tipo de veneno			aʂã- 		aʂã- 		FAUST; LOOS, 2002	*ʔaʂ[an]-	tipo de veneno	Yam aʂã- (FAUST; LOOS;; 2002)
120	§7	Sharanáwa	Shar	tipo de veneno	1		aʂain		a ʂ ai n			*ʔaʂ[an]-	tipo de veneno	Shar aʂain, aʂaan ‘pescar com huaca o barbasco’
121	§7	Sharanáwa	Shar	pescar com huaca o barbasco			aʂaan		a ʂ aa n			*ʔaʂ[an]-	tipo de veneno	Shar aʂain, aʂaan ‘pescar com huaca o barbasco’
125	§7	Amawáka	A	tipo de veneno	1		ʔaxã- I		ʔaxã- I			*ʔaʂ[an]-	tipo de veneno	A ʔaxã- I
126	§7	Kaxinawá	Kn	veneno			aʂa-		a ʂ a			*ʔaʂ[an]-	tipo de veneno	Kn aʂa- ‘veneno’, aʂã- ‘hacer;;  matar con veneno’
127	§7	Kaxinawá	Kn	hacer,  matar con veneno			aʂã-		a ʂ ã			*ʔaʂ[an]-	tipo de veneno	Kn aʂa- ‘veneno’, aʂã- ‘hacer;;  matar con veneno’
128	§7	Marináwa	M	tipo de veneno	1		ˈaʂã-		ˈa ʂ ã			*ʔaʂ[an]-	tipo de veneno	M ˈaʂã-
129	§7	Yawanawá	Yaw	pescaria			aʃan		a ʃ a n			*ʔaʂ[an]-	tipo de veneno	Yaw aʃan ‘pescaria’
131	§7	Matís	Mt	ato de passar veneno na seta da zarabatana			aʂ-kin		a ʂ k i n			*ʔaʂ[an]-	tipo de veneno	Mt aʂ-kin ‘ato de passar veneno na seta da zarabatana’
133	§8	Kakataibo	Ksh	anta (Tapirus terrestris)	1		ʔɔˈɔ		ʔ ɔ ˈɔ			*ʔawaɽ	anta (Tapirus terrestris)	Ksh ʔɔˈɔ
134	§8	ShipiboKonibo	SK	tapir			ʔaˈwa		ʔ a ˈw a			*ʔawaɽ	anta (Tapirus terrestris)	SK ʔaˈwa ‘tapir’, ʔawarã piti ‘comida de tapir (nombre de planta)’
135	§8	ShipiboKonibo	SK	comida de tapir (nombre de planta)			ʔawarã piti		ʔawarã piti			*ʔawaɽ	anta (Tapirus terrestris)	SK ʔaˈwa ‘tapir’, ʔawarã piti ‘comida de tapir (nombre de planta)’
136	§8	Kapanawa	Kp	anta (Tapirus terrestris)	1		ʔaˈa;		ʔ a ˈ a ;			*ʔawaɽ	anta (Tapirus terrestris)	Kp ʔaˈa;
137	§8	Marúbo	Mar	anta (Tapirus terrestris)	1		awa		a w a			*ʔawaɽ	anta (Tapirus terrestris)	Mar awa
138	§8	Chákobo	Ch	tapir			ʔáwara		ʔ á w a r a			*ʔawaɽ	anta (Tapirus terrestris)	Ch ʔáwara ‘tapir’, awá (ZINGG;; 1998)
139	§8	Chákobo	Ch	tapir			awá 		awá 		ZINGG, 1998	*ʔawaɽ	anta (Tapirus terrestris)	Ch ʔáwara ‘tapir’, awá (ZINGG;; 1998)
140	§8	Kaxararí	Kax	anta (Tapirus terrestris)	1		[awaˈtʃa]		[ a w a ˈt ʃ a ]			*ʔawaɽ	anta (Tapirus terrestris)	Kax [awaˈtʃa]
141	§8	Yamináwa	Yam	anta (Tapirus terrestris)			aɸa 		aɸa 		FAUST; LOOS, 2002	*ʔawaɽ	anta (Tapirus terrestris)	Yam aɸa (FAUST; LOOS;; 2002)
143	§8	Sharanáwa	Shar	anta (Tapirus terrestris)	1		awa		a w a			*ʔawaɽ	anta (Tapirus terrestris)	Shar awa, awa-pan
144	§8	Sharanáwa	Shar	anta (Tapirus terrestris)	1		awa-pan		a w a p a n			*ʔawaɽ	anta (Tapirus terrestris)	Shar awa, awa-pan
145	§8	Shanenáwa	Shan	anta (Tapirus terrestris)	1		awa		a w a			*ʔawaɽ	anta (Tapirus terrestris)	Shan awa
146	§8	Katukina	Kat	anta (Tapirus terrestris)			awa [awˈa] 		awa [awˈa] 		BARROS, 1987	*ʔawaɽ	anta (Tapirus terrestris)	Kat awa [awˈa] (BARROS;; 1987)
147	§8	Poyanáwa	Poy	anta (Tapirus terrestris)	1		awa		a w a			*ʔawaɽ	anta (Tapirus terrestris)	Poy awa
148	§8	Amawáka	A	anta (Tapirus terrestris)			ʔáá 		ʔáá 		HYDE, 1980	*ʔawaɽ	anta (Tapirus terrestris)	A ʔáá (HYDE;; 1980), áá I
149	§8	Amawáka	A	anta (Tapirus terrestris)	1		áá I		áá I			*ʔawaɽ	anta (Tapirus terrestris)	A ʔáá (HYDE;; 1980), áá I
150	§8	Kaxinawá	Kn	anta (Tapirus terrestris)	1		awa		a w a			*ʔawaɽ	anta (Tapirus terrestris)	Kn awa
151	§8	Marináwa	M	anta (Tapirus terrestris)	1		áwa		á w a			*ʔawaɽ	anta (Tapirus terrestris)	M áwa
152	§8	Yawanawá	Yaw	anta (Tapirus terrestris)	1		aua		aua			*ʔawaɽ	anta (Tapirus terrestris)	Yaw aua
153	§8	Korúbo	Ko	anta (Tapirus terrestris)	1		awat		a w a t			*ʔawaɽ	anta (Tapirus terrestris)	Ko awat
154	§8	Matís	Mt	anta (Tapirus terrestris)	1		awad		a w a d			*ʔawaɽ	anta (Tapirus terrestris)	Mt awad
155	§8	Mayorúna	My	anta (Tapirus terrestris)	1		awad		a w a d			*ʔawaɽ	anta (Tapirus terrestris)	My awad
157	§9	ShipiboKonibo	SK	mulher,  esposa	1		aˈwi᷈		a ˈw i᷈			*ʔawi[n]	mulher,  esposa	SK aˈwi᷈
158	§9	Kapanawa	Kp	mulher,  esposa	1		ʔaˈwin		ʔ a ˈw i n			*ʔawi[n]	mulher,  esposa	Kp ʔaˈwin
159	§9	Marúbo	Mar	mulher,  esposa			ai᷈ 		ai᷈ 		CESARINO, 2008	*ʔawi[n]	mulher,  esposa	Mar ai᷈ (CESARINO;; 2008), aˈi᷈, aˈi᷈vɞ ‘mulher’ (COSTA;; 1992)
160	§9	Marúbo	Mar	mulher,  esposa	1		aˈi᷈		a ˈi᷈			*ʔawi[n]	mulher,  esposa	Mar ai᷈ (CESARINO;; 2008), aˈi᷈, aˈi᷈vɞ ‘mulher’ (COSTA;; 1992)
161	§9	Marúbo	Mar	mulher			aˈi᷈vɞ		a ˈi᷈ v ɞ		COSTA, 1992	*ʔawi[n]	mulher,  esposa	Mar ai᷈ (CESARINO;; 2008), aˈi᷈, aˈi᷈vɞ ‘mulher’ (COSTA;; 1992)
162	§9	Chákobo	Ch	esposa			ʔaˈwini		ʔ a ˈw i n i	 (ver etimologias 3, 386,  498		*ʔawi[n]	mulher,  esposa	Ch ʔaˈwini ‘esposa’ (ver etimologias 3;; 386;;  498), awí (ZINGG;; 1998)
163	§9	Chákobo	Ch	esposa			awí 		awí 		ZINGG, 1998	*ʔawi[n]	mulher,  esposa	Ch ʔaˈwini ‘esposa’ (ver etimologias 3;; 386;;  498), awí (ZINGG;; 1998)
165	§9	Yamináwa	Yam	mulher,  esposa	1		aɸi᷈		a ɸ i᷈			*ʔawi[n]	mulher,  esposa	Yam aɸi᷈, aɸini᷈ɸ‘esposa’ (FAUST; LOOS;; 2002)
166	§9	Yamináwa	Yam	esposa			aɸini᷈ɸ		a ɸ i n i᷈ ɸ		FAUST; LOOS, 2002	*ʔawi[n]	mulher,  esposa	Yam aɸi᷈, aɸini᷈ɸ‘esposa’ (FAUST; LOOS;; 2002)
169	§9	Shanenáwa	Shan	mulher,  esposa	1		awin		a w i n			*ʔawi[n]	mulher,  esposa	Shan awin
170	§9	Katukina	Kat	mulher,  esposa	1		ain		ai n			*ʔawi[n]	mulher,  esposa	Kat ain
171	§9	Poyanáwa	Poy	mulher,  esposa	1		awi᷈		a w i᷈			*ʔawi[n]	mulher,  esposa	Poy awi᷈
172	§9	Amawáka	A	mulher,  esposa	1		ʔaín		ʔ aí n			*ʔawi[n]	mulher,  esposa	A ʔaín, ʔáiní (HYDE;; 1980), ãi᷈
173	§9	Amawáka	A	mulher,  esposa			ʔáiní 		ʔáiní 		HYDE, 1980	*ʔawi[n]	mulher,  esposa	A ʔaín, ʔáiní (HYDE;; 1980), ãi᷈
174	§9	Amawáka	A	mulher,  esposa	1		ãi᷈		ãi᷈			*ʔawi[n]	mulher,  esposa	A ʔaín, ʔáiní (HYDE;; 1980), ãi᷈
175	§9	Kaxinawá	Kn	mulher,  esposa	1		ãi᷈		ãi᷈			*ʔawi[n]	mulher,  esposa	Kn ãi᷈
176	§9	Marináwa	M	mulher,  esposa	1		ˈãwi᷈		ˈã w i᷈			*ʔawi[n]	mulher,  esposa	M ˈãwi᷈
177	§9	Yawanawá	Yaw	mulher,  esposa	1		auin		aui n			*ʔawi[n]	mulher,  esposa	Yaw auin
178	§9	Korúbo	Ko	mulher,  esposa	1		awin		a w i n			*ʔawi[n]	mulher,  esposa	Ko awin
179	§9	Matís	Mt	mulher,  esposa	1		awin		a w i n			*ʔawi[n]	mulher,  esposa	Mt awin
180	§9	Mayorúna	My	mulher,  esposa	1		awin		a w i n			*ʔawi[n]	mulher,  esposa	My awin
181	§9a	ShipiboKonibo	SK	mulher,  esposa	1		ʔaˈi᷈βo		ʔ a ˈi᷈ β o			*ʔawi᷈βo	mulher,  esposa	SK ʔaˈi᷈βo
182	§9a	Kapanawa	Kp	mulher,  esposa	1		aíβo		aí β o			*ʔawi᷈βo	mulher,  esposa	Kp aíβo
183	§9a	Kaxinawá	Kn	mulher,  esposa	1		ãi᷈bu		ãi᷈ b u			*ʔawi᷈βo	mulher,  esposa	Kn ãi᷈bu
184	§9a	Marináwa	M	mujer			ãi᷈ɸo		ãi᷈ ɸ o			*ʔawi᷈βo	mulher,  esposa	M ãi᷈ɸo ‘mujer’
185	§10	Kakataibo	Ksh	tragar			ʔee-		ʔ ee			*ʔaya-	**tragar	Ksh ʔee- ‘tragar’, ʔe-ti ‘tragar’ (SHELL;; 1987)
186	§10	Kakataibo	Ksh	tragar			ʔe-ti		ʔ e t i		SHELL, 1987	*ʔaya-	**tragar	Ksh ʔee- ‘tragar’, ʔe-ti ‘tragar’ (SHELL;; 1987)
188	§10	Kapanawa	Kp	tomar, beber			ʔaʔ-kin		ʔ a ʔ k i n		LOOS; LOOS, 1998	*ʔaya-	**tragar	Kp ʔaʔ-kin ‘tomar;; beber’ (LOOS; LOOS;; 1998)
189	§10	Chákobo	Ch	tomar, beber			a-kaina 		a-kaina 		ZINGG, 1998	*ʔaya-	**tragar	Ch a-kaina (ZINGG;; 1998)
190	§10	Amawáka	A	tomar,  beber			ʔáya- kin		ʔáya- kin		HYDE, 1980	*ʔaya-	**tragar	A ʔáya- kin ‘tomar;;  beber’ (HYDE;; 1980), aya- II
191	§10	Amawáka	A	tragar	1	1	aya- II		aya- II			*ʔaya-	**tragar	A ʔáya- kin ‘tomar;;  beber’ (HYDE;; 1980), aya- II
192	§10	Kaxinawá	Kn	beber mucho			aya-		aya			*ʔaya-	**tragar	Kn aya- ‘beber mucho’
193	§10	Marináwa	M	beber,  tragar			áyá-		áyá			*ʔaya-	**tragar	M áyá- ‘beber;;  tragar’
194	§10	Marúbo	Mar	beber,  tragar			a-ki᷈ 		a-ki᷈ 		CESARINO, 2008	*ʔaya-	**tragar	Mar a-ki᷈ (CESARINO;; 2008)
195	§10	Katukina	Kat	tomar			akai	1	** a k ai			*ʔaya-	**tragar	Kat **akai ‘tomar’
196	§10	Shanenáwa	Shan	tragar	1	1	aya		aya			*ʔaya-	**tragar	Shan aya
197	§10	Yawanawá	Yaw	tragar	1	1	aia		aia			*ʔaya-	**tragar	Yaw aia
201	§10	Chanináwa	Chan	tragar	1	1	aya-i		aya i			*ʔaya-	**tragar	Chan aya-i
202	§10	Sharanáwa	Shar	tragar	1	1	aya-i		aya i			*ʔaya-	**tragar	Shar aya-i
203	§10	Korúbo	Ko	tragar	1	1	ak-	1	** a k			*ʔaya-	**tragar	Ko **ak-
204	§10	Matís	Mt	beber			ak-kin	1	** a kk i n			*ʔaya-	**tragar	Mt **ak-kin ‘beber’
205	§10	Mayorúna	My	beber			ak	1	** a k			*ʔaya-	**tragar	My **ak ‘beber’
206	§11	Kakataibo	Ksh	yo	1	1	ʔɨ-		ʔ ɨ			*ʔɨ	**yo	Ksh ʔɨ-
207	§11	ShipiboKonibo	SK	yo	1	1	ʔɨ-		ʔ ɨ			*ʔɨ	**yo	SK ʔɨ-
208	§11	Kapanawa	Kp	yo	1	1	ʔɨ-		ʔ ɨ			*ʔɨ	**yo	Kp ʔɨ-
209	§11	Chákobo	Ch	yo			ɨ		ɨ	 A ɨ-		*ʔɨ	**yo	Ch ɨ ‘yo’ A ɨ-
210	§11	Kaxinawá	Kn	yo	1	1	ɨ-		ɨ			*ʔɨ	**yo	Kn ɨ-
211	§11	Marináwa	M	yo	1	1	ɨ		ɨ			*ʔɨ	**yo	M ɨ
212	§12	Kakataibo	Ksh	grande	1		ʔi᷈ɔ		ʔ i᷈ɔ			*ʔɨwa	grande	Ksh ʔi᷈ɔ, -ɔ ‘grande;; importante;; excessive;;  enorme’, **-on;;  -an (ZARIQUIEY;; 2011)
213	§12	Kakataibo	Ksh	grande, importante, excessive,  enorme			-ɔ		ɔ			*ʔɨwa	grande	Ksh ʔi᷈ɔ, -ɔ ‘grande;; importante;; excessive;;  enorme’, **-on;;  -an (ZARIQUIEY;; 2011)
214	§12	Kakataibo	Ksh	grande, importante, excessive,  enorme			-on,  -an 	1	**-on,  -an 		ZARIQUIEY, 2011	*ʔɨwa	grande	Ksh ʔi᷈ɔ, -ɔ ‘grande;; importante;; excessive;;  enorme’, **-on;;  -an (ZARIQUIEY;; 2011)
215	§12	ShipiboKonibo	SK	grande	1		ʔɨwa		ʔ ɨ w a			*ʔɨwa	grande	SK ʔɨwa
216	§12	Kapanawa	Kp	grande	1		aʔwan		a ʔ w a n			*ʔɨwa	grande	Kp aʔwan, iʔwan, ʔwan ‘gigantesco;; enorme;;  tremendo’ (LOOS; LOOS;; 1998), -wan
217	§12	Kapanawa	Kp	grande	1		iʔwan		i ʔ w a n			*ʔɨwa	grande	Kp aʔwan, iʔwan, ʔwan ‘gigantesco;; enorme;;  tremendo’ (LOOS; LOOS;; 1998), -wan
218	§12	Kapanawa	Kp	gigantesco, enorme,  tremendo			ʔwan		ʔ w a n		LOOS; LOOS, 1998	*ʔɨwa	grande	Kp aʔwan, iʔwan, ʔwan ‘gigantesco;; enorme;;  tremendo’ (LOOS; LOOS;; 1998), -wan
