# Wordlist

# DATA
ID	DOCULECT	CONCEPT	CONCEPT IN SOURCE	TOKENS	FORM	VARIANTS	COMMENT	SOURCE	COGID	UNCERTAIN COGNACY	PARAGRAPH	ENTRY IN SOURCE	ALIGNMENT
3186	Yaminawa	above		m a n a õ	manaõ				218		§214	Yam manaõ ‘arriba de algo’, manã, mãnãnɨ̃ ‘loma’ (EAKEN;; 2008)	m a n a - - - õ
3187	Yaminawa	above		m a n ã	manã				218		§214	Yam manaõ ‘arriba de algo’, manã, mãnãnɨ̃ ‘loma’ (EAKEN;; 2008)	m a n ã - - - -
3189	Sharanawa	above		m a n a n u n	mananun				218		§214	Shar mananun ‘encima;; manaon;; encima;; arriba;; más alto;;  más arriba’	m a n a n u n -
3190	Shanenawa	above		m a n a u n	manaun				218		§214	Shan manaun ‘em cima’	m a n a - u n -
3191	Amawaka	above		m a n ã	manã-		II		218		§214	A manã- II ‘encima;; espacio desmontado’	m a n ã - - - -
3192	Kaxinawa	above		m ã n ã	mãnã				218		§214	Kn mãnã ‘colina’	m ã n ã - - - -
3193	Marinawa	above		m ã n ã k í/i r í/i	mãnãkírí				218		§214	M mãnãkírí ‘aguas arriba’	m ã n ã k í/i r í/i
3194	Mayoruna	above		m a n n a n	mannan				218		§214	My mannan ‘cima;; cumbre’	m a n - n a n -
5236	Chaninawa	above		m a n a k i r i	manakiri				365	1	§362	Chan **madakiri, **manakiri ‘águas arriba’	m a n a - k i r - - i - - - - - -
#
3359	Proto-Panoan	achiote		m a ʂ ɨ	maʂɨ			Oliveira2014	231		§227	*maʂɨ ‘urucum (a árvore e o seu fruto)’ :	m a ʂ ɨ
3360	Kakataibo	achiote		m a ʂ ɨ	maʂɨ				231		§227	Ksh maʂɨ	m a ʂ ɨ
3361	ShipiboKonibo	achiote		m a ʂ ɨ	maʂɨ				231		§227	SK maʂɨ	m a ʂ ɨ
3362	Kapanawa	achiote		m a ʂ ɨ	maʂɨ				231		§227	Kp maʂɨ	m a ʂ ɨ
3363	Marubo	achiote		m a ʃ ɨ	maʃɨ			Cesarino2008	231		§227	Mar maʃɨ ‘urucum’ (CESARINO;; 2008)	m a ʃ ɨ
3364	Chakobo	achiote		m a ʂ ɨ	maʂɨ				231		§227	Ch maʂɨ	m a ʂ ɨ
3365	Chaninawa	achiote		b a ʃ ɨ	baʃɨ				231		§227	Chan baʃɨ	b a ʃ ɨ
3366	Katukina	achiote		m a ʂ i	maʂi				231		§227	Kat maʂi	m a ʂ i
3367	Amawaka	achiote		m a x ɨ	maxɨ		II		231		§227	A maxɨ II	m a x ɨ
3368	Kaxinawa	achiote		m a ʂ ɨ	maʂɨ				231		§227	Kn maʂɨ	m a ʂ ɨ
3369	Marinawa	achiote		m á/a ʂ ɨ́	máʂɨ́				231		§227	M máʂɨ́	m á/a ʂ ɨ́
4418	Korubo	achiote		ʃ i n t e	ʃinte				309		§305	Ko ʃinte ‘urucum’	- - - ʃ i n t e - - - - -
4626	Korubo	achiote		ʃ i n t e	ʃinte				322		§319	Ko ʃinte ‘urucum’	ʃ i n t e - - - - -
#
6570	Proto-Panoan	adam's apple		t ɨ t o n|r/n	tɨto[n]			Oliveira2014	460		§457	*tɨto[n] ‘pomo de adão’ :	t ɨ - t - - - o n|r/n - - -
6571	Kakataibo	adam's apple		t ɨ t ṍ	tɨtṍ				460		§457	Ksh tɨtṍ	t ɨ - t - - - ṍ - - - -
6572	ShipiboKonibo	adam's apple		t ɨ t ṍ	tɨtṍ				460		§457	SK tɨtṍ	t ɨ - t - - - ṍ - - - -
6573	Kapanawa	adam's apple		t ɨ t ó/o n	tɨtón				460		§457	Kp tɨtón	t ɨ - t - - - ó/o n - - -
6574	Marubo	adam's apple		t ə̃ t o	tə̃ˈto	tə̃ˈtʊ		Cabral2010	460		§457	Mar tɨ̃to [tə̃ˈto] ~ [tə̃ˈtʊ] (CABRAL; OLIVEIRA;; 2010)	t ə̃ - t - - - o - - - -
6575	Chakobo	adam's apple		t ɨ t o	tɨto				460		§457	Ch tɨto ‘manzana de Adán’	t ɨ - t - - - o - - - -
6576	Kaxarari	adam's apple		t ɨ b u ɾ u	tɨbuˈɾu			Valenzuela2012	460	1	§457	Kax **tɨburu [tɨbuˈɾu] (VALENZUELA; OLIVEIRA;; 2012)	t ɨ - - b u ɾ u - - - -
6577	Sharanawa	adam's apple		t ɨ t o k o	tɨtoko				460		§457	Shar tɨtoko, tɨtokon ‘nuez de la garganta;;  manzana de Adán’	t ɨ - t - o k o - - - -
6578	Sharanawa	adam's apple		t ɨ t o k o n	tɨtokon				460		§457	Shar tɨtoko, tɨtokon ‘nuez de la garganta;;  manzana de Adán’	t ɨ - t - o k o n - - -
6579	Amawaka	adam's apple		t ɨ t õ	tɨtõ		II		460		§457	A tɨtõ II ‘esófago’, tɨ́́ʃpí	t ɨ - t - - - õ - - - -
6580	Amawaka	adam's apple		t ɨ́/ɨ ʃ p í/i	tɨ́́ʃpí				460		§457	A tɨtõ II ‘esófago’, tɨ́́ʃpí	t ɨ́/ɨ - ʃ p - - í/i - - - -
6581	Kaxinawa	adam's apple		t ɨ t u k u	tɨtuku				460		§457	Kn tɨtuku ‘manzana de adán’	t ɨ - t - u k u - - - -
6582	Marinawa	adam's apple		t ɨ́/ɨ s + t õ	tɨ́ś_tõ				460		§457	M tɨ́ś tõ	t ɨ́/ɨ - s - - - - - + t õ
6585	Mayoruna	adam's apple		t ɨ o n	tɨon				460	1	§457	My **tɨon ‘manzana de Adán’	t ɨ - - - - - o n - - -
#
7082	Proto-Panoan	afternoon		j ã t a n	yãtan			Oliveira2014	501		§497	*yãtan ‘tarde’ :	j ã - t a n
7083	Kakataibo	afternoon		a t ã́/ã	atã́				501		§497	Ksh atã́	- a - t ã́/ã -
7084	ShipiboKonibo	afternoon		j ã t ã́/ã	yãtã́				501		§497	SK yãtã́	j ã - t ã́/ã -
7085	Kapanawa	afternoon		j a n t á/a n	yantán				501		§497	Kp yantán	j a n t á/a n
7086	Chakobo	afternoon		j á/a t a	yáta				501		§497	Ch yáta	j á/a - t a -
7088	Yaminawa	afternoon		j ã t a	yãta				501		§497	Yam yãta ‘tarde’	j ã - t a -
7089	Sharanawa	afternoon		j a t a n	yatan				501		§497	Shar yatan ‘tarde’	j a - t a n
7090	Amawaka	afternoon		j ã t ã	yãtã		II		501		§497	A yãtã II	j ã - t ã -
7091	Marinawa	afternoon		j á/a t ã	yátã				501		§497	M yátã	j á/a - t ã -
7092	Yawanawa	afternoon		j ã t ã	jãˈtã			Souza2013	501		§497	Yaw yantan [jãˈtã] (SOUZA;; 2013)	j ã - t ã -
#
1744	Proto-Panoan	amber		ts i s t o	[ts]is[t]o			Oliveira2014	117		§114	[ts]is[t]o ‘brasa’ :	ts i s t o
1746	Chakobo	amber		ts i s t o	tsisto				117		§114	Ch tsisto	ts i s t o
1747	Mayoruna	amber		ts i s u	tsisu				117		§114	My tsisu ~ sisu	ts i s - u
#
1733	Proto-Panoan	amber, coal		ts i s t ɨ	tsistɨ			Oliveira2014	116		§113	*tsistɨ ‘carvão;;  brasa’ :	- - - - - ts i s t ɨ -
1734	Kakataibo	amber, coal		ts i s u	tsisu			Shell1987	116	1	§113	Ksh **tsisu ‘carbón’ (SHELL;; 1987)	- - - - - ts i s - u -
1735	ShipiboKonibo	amber, coal		ts i s t ɨ	tsistɨ				116		§113	SK tsistɨ	- - - - - ts i s t ɨ -
1736	Kapanawa	amber, coal		ts i s t ɨ	tsistɨ				116		§113	Kp tsistɨ ‘tizón;; brasa;; carbon de leña’	- - - - - ts i s t ɨ -
1737	Chakobo	amber, coal		ts i s t ɨ	tsistɨ			Zingg1998	116		§113	Ch tsistɨ ‘el carbón de leña;;  el tizón’ (ZINGG;; 1998), tsistí	- - - - - ts i s t ɨ -
1738	Chakobo	amber, coal		ts i s t í/i	tsistí				116		§113	Ch tsistɨ ‘el carbón de leña;;  el tizón’ (ZINGG;; 1998), tsistí	- - - - - ts i s t í/i -
1739	Sharanawa	amber, coal		ts i s t ɨ	tsistɨ				116		§113	Shar tsistɨ, tsistɨn ‘carbón;;  cosas oscuras’	- - - - - ts i s t ɨ -
1740	Sharanawa	amber, coal		ts i s t ɨ n	tsistɨn				116		§113	Shar tsistɨ, tsistɨn ‘carbón;;  cosas oscuras’	- - - - - ts i s t ɨ n
1741	Kaxinawa	amber, coal		ts i s t ɨ	tsistɨ			Montag1981c	116		§113	Kn tsistɨ ‘carbón que queda en el extremo de la leña’ (MONTAG;; 1981), kaɾu tʃiʃtɨ ‘tizón;;  carbón de leña’	- - - - - ts i s t ɨ -
1742	Kaxinawa	amber, coal		k a ɾ u + tʃ i ʃ t ɨ	kaɾu_tʃiʃtɨ				116		§113	Kn tsistɨ ‘carbón que queda en el extremo de la leña’ (MONTAG;; 1981), kaɾu tʃiʃtɨ ‘tizón;;  carbón de leña’	k a ɾ u + tʃ i ʃ t ɨ -
1743	Marinawa	amber, coal		ts í/i s t ɨ́	tsístɨ́				116		§113	M tsístɨ́ ‘brasa;;  carbón de leña’	- - - - - ts í/i s t ɨ́ -
1745	Kakataibo	amber, coal		ts i s o	tsiso				117		§114	Ksh tsiso ‘brasa;;  carbón de leña’	ts i s - o
#
7150	Proto-Panoan	animal		j o ʔ i n|r/n a	yoʔi[n]a			Oliveira2014	505		§501	*yoʔi[n]a ‘animal’ :	j o ʔ i n|r/n a -
7151	Kakataibo	animal		ɲ o i n a	ñoina				505		§501	Ksh ñoina	ɲ - o i n a -
7152	ShipiboKonibo	animal		j o i n a	yoina				505		§501	SK yoina	j o - i n a -
7153	Kapanawa	animal		j o ʔ i n a	yoʔina				505		§501	Kp yoʔina	j o ʔ i n a -
7154	Marubo	animal		j o ĩ	yoĩ			Cesarino2008	505		§501	Mar yoĩ ‘animal’ (CESARINO;; 2008)	j o - - - ĩ -
7155	Chakobo	animal		j o ʔ í/i n a	yoʔína				505		§501	Ch yoʔína ‘animal’	j o ʔ í/i n a -
7156	Sharanawa	animal		j o i n a	yoina				505		§501	Shar yoina, yoinan ‘animal comestible’	j o - i n a -
7157	Sharanawa	animal		j o i n a n	yoinan				505		§501	Shar yoina, yoinan ‘animal comestible’	j o - i n a n
7158	Shanenawa	animal		j u i n a	yuina				505		§501	Shan yuina ‘pássar;;  animal comestível’	j u - i n a -
7159	Poyanawa	animal		i ũ ĩ d a	iũĩda				505		§501	Poy iũĩda ‘animal’	- i ũ ĩ d a -
7160	Amawaka	animal		j õ ʔ i n a	yõʔina_I				505		§501	A yõʔina I	j õ ʔ i n a -
7161	Kaxinawa	animal		j u i n a	yuina			Montag1981c	505		§501	Kn yuina(ka) ‘animal comestible’ (MONTAG;; 1981), yuina...	j u - i n a -
7162	Kaxinawa	animal		j u i n a	yuina...				505		§501	Kn yuina(ka) ‘animal comestible’ (MONTAG;; 1981), yuina...	j u - i n a -
7163	Marinawa	animal		j ó/o í/i n á/a	yóíná				505		§501	M yóíná	j ó/o - í/i n á/a -
7164	Yawanawa	animal		i u i n a	iuina				505		§501	Yaw iuina ‘animal’	- i u i n a -
#
3061	Proto-Panoan	animal horn		m ã tʃ a n|r/n	mãtʃa[n]			Oliveira2014	209		§206	*mãtʃa[n] ‘chifre de animal’ :	m ã - tʃ - - - a n|r/n
3062	Kakataibo	animal horn		m a t u ʂ k a	matuʂka				209	1	§206	Ksh **matuʂka	m a - t u ʂ k a -
3063	ShipiboKonibo	animal horn		m ã tʃ ã́/ã	mãtʃã́				209		§206	SK mãtʃã́	m ã - tʃ - - - ã́/ã -
3064	Kapanawa	animal horn		m a n tʃ á/a n	mantʃán				209		§206	Kp mantʃán	m a n tʃ - - - á/a n
3065	Marubo	animal horn		m ã ʃ ũ	mãˈʃũ			Anonby2010	209	1	§206	Mar **mãˈʃũ (ANONBY; HOLBROOK;; 2010)	m ã - - - - ʃ ũ -
3066	Kaxarari	animal horn		m a ʂ a ɦ u	maʂaˈɦu				209	1	§206	Kax **maʂaˈhu [maʂaˈɦu] ‘chifre’	m a - ʂ a - ɦ u -
3067	Shanenawa	animal horn		m a ʂ u	maʂu				209	1	§206	Shan **maʂu	m a - - - - ʂ u -
3068	Katukina	animal horn		m ə̃ n d z õi	mə̃nˈdzoỹ			Barros1987	209	1	§206	Kat **mãtsũy [mə̃nˈdzoỹ] (BARROS;; 1987)	m ə̃ n d - - z õi -
3069	Amawaka	animal horn		m a tʃ ã	matʃã				209		§206	A matʃã	m a - tʃ - - - ã -
3070	Yawanawa	animal horn		m a tʃ a n	matʃan				209		§206	Yaw matʃan ‘pereba’	m a - tʃ - - - a n
3072	Mayoruna	animal horn		m a ʂ u k u d	maˈʂukud				209	1	§206	My **maʂukud [maˈʂukud] ‘caspa’	m a - ʂ u - k u d
3393	Proto-Panoan	animal horn		m ã ʂ o	mãʂo			Oliveira2014	234		§230	*mãʂo ‘chifre de animal’ :	m ã - - - ʂ o -
3395	Marubo	animal horn		m ã ʃ ũ	mãˈʃũ			Anonby2010	234		§230	Mar mãˈʃũ(ANONBY; HOLBROOK;; 2010)	m ã - - - ʃ ũ -
3396	Chakobo	animal horn		m a ʃ o ʃ o	maʃoˈʃo				234		§230	Ch maʃoˈʃo ‘ampollitas de la piel en la cabeza’	m a - ʃ o ʃ o -
3397	Yaminawa	animal horn		m ã ʂ o	mãʂo				234		§230	Yam mãʂo, mãʂomã ‘cuerno’ (EAKEN;; 2008)	m ã - - - ʂ o -
3398	Yaminawa	animal horn		m ã ʂ o m ã	mãʂomã			Eakin2008	234		§230	Yam mãʂo, mãʂomã ‘cuerno’ (EAKEN;; 2008)	m ã - ʂ o m ã -
3399	Sharanawa	animal horn		m a ʂ o	maʂo				234		§230	Shar maʂo, maʂon	m a - - - ʂ o -
3400	Sharanawa	animal horn		m a ʂ o n	maʂon				234		§230	Shar maʂo, maʂon	m a - - - ʂ o n
3401	Shanenawa	animal horn		m a ʂ u	maʂu				234		§230	Shan maʂu	m a - - - ʂ u -
3402	Katukina	animal horn		m ə̃ n d z õi	mə̃nˈdzoỹ̃			Barros1987	234	1	§230	Kat **mãtsũy [mə̃nˈdzoỹ̃] ‘chifre’ (BARROS;; 1987)	m ə̃ n d - z õi -
3403	Poyanawa	animal horn		m ã h ũ	mãhũ				234		§230	Poy mãhũ	m ã - - - h ũ -
3404	Kaxarari	animal horn		m a ʂ a ɦ u	maʂaˈɦu			Lanes2005	234		§230	Kax maʂaˈhu [maʂaˈɦu] (LANES;; 2005)	m a - ʂ a ɦ u -
3405	Amawaka	animal horn		m á/a x o	máxo		II		234		§230	A máxo II	m á/a - - - x o -
3406	Kaxinawa	animal horn		m a ʂ u	maʂu				234		§230	Kn maʂu	m a - - - ʂ u -
3407	Marinawa	animal horn		m á/a ʂ o	máʂo				234		§230	M máʂo	m á/a - - - ʂ o -
3408	Yawanawa	animal horn		m a n ʃ u n	manʃun				234		§230	Yaw manʃun	m a n - - ʃ u n
3410	Mayoruna	animal horn		m a ʂ u k u d	maˈʂukud				234		§230	My maʂukud [maˈʂukud] ‘caspa’	m a - ʂ u k u d
#
4966	Proto-Panoan	ankle		p o ʂ k o	poʂko			Oliveira2014	348		§345	*poʂko ‘tornozelo’ :	- - p o ʂ k - - o
4967	Kapanawa	ankle		t a p o ʃ k o	tapoʃko				348		§345	Kp tapoʃko	t a p o ʃ k - - o
4968	Marubo	ankle		t a p u ʂ ɨ	taˈpuʂɨ			Cabral2010	348		§345	Mar tapuʂɨ [taˈpuʂɨ] ‘tornozelo’ (CABRAL; RODRIGUES;; 2010)	t a p u ʂ - - - ɨ
4969	Chakobo	ankle		h o p o t ó/o	hopotó				348	1	§345	Ch **hopotó	h o p o - t - - ó/o
4970	Yaminawa	ankle		o p o ʂ k o	opoʂko				348		§345	Yam opoʂko, opoʂkono ‘tobillo’ (EAKEN;; 2008)	- o p o ʂ k - - o
4971	Yaminawa	ankle		o p o ʂ k o n o	opoʂkono			Eakin2008	348		§345	Yam opoʂko, opoʂkono ‘tobillo’ (EAKEN;; 2008)	- o p o ʂ k o n o
4972	Chaninawa	ankle		o p o ʃ k o	opoʃko				348		§345	Chan opoʃko	- o p o ʃ k - - o
4973	Sharanawa	ankle		o p o ʂ k o	opoʂko				348		§345	Shar opoʂko	- o p o ʂ k - - o
4974	Katukina	ankle		t a p u ʂ k u	tapuʂku				348		§345	Kat tapuʂku ‘osso do tornozelo;;  tornozelo’	t a p u ʂ k - - u
4975	Amawaka	ankle		h o p o x k o	hopoxko		II		348		§345	A hopoxko II	h o p o x k - - o
4976	Kaxinawa	ankle		h u p ú/u ʃ k u	hupúʃku				348		§345	Kn hupúʃku	h u p ú/u ʃ k - - u
4977	Marinawa	ankle		ó/o p o ʂ k o	ópoʂko				348		§345	M ópoʂko, rápoʂko	- ó/o p o ʂ k - - o
4978	Marinawa	ankle		r á/a p o ʂ k o	rápoʂko				348		§345	M ópoʂko, rápoʂko	r á/a p o ʂ k - - o
4979	Yawanawa	ankle		u p u ʃ k u	upuʃˈku				348		§345	Yaw upuʃku [upuʃˈku] ‘tornozelo’	- u p u ʃ k - - u
5177	ShipiboKonibo	ankle		t a ɨ + p a t ṍ/õ k o	taɨ_patṍko				362		§359	SK rãtõko ‘rótula’, taɨ patṍko ‘tobillo’, **taʔɨ ‘pie’;;  etimologia 436	t a ɨ + p a - - t ṍ/õ - k o - - - -
5181	Chakobo	ankle		h o p o t ó/o	hopotó		 (ver etimologia 345		362	1	§359	Ch **rapotó ‘rodilla;; rótula’, **hopotó ‘tobillo’ (ver etimologia 345)	- - - - h o - - p o - t ó/o - - - -
#
5648	Proto-Panoan	anteater		ʂ a ʔ ɨ	ʂaʔɨ			Oliveira2014	395		§392	*ʂaʔɨ ‘tamanduá’ :	ʂ a ʔ ɨ - -
5650	ShipiboKonibo	anteater		ʂ a ɨ	ʂaɨ				395		§392	SK ʂaɨ	ʂ a - ɨ - -
5651	Kapanawa	anteater		ʂ a ʔ ɨ	ʂaʔɨ				395		§392	Kp ʂaʔɨ	ʂ a ʔ ɨ - -
5652	Marubo	anteater		ʃ a ɨ	ʃaɨ				395		§392	Mar ʃaɨ ‘tamanduá’	ʃ a - ɨ - -
5653	Chakobo	anteater		ʂ a ʔ ɨ	ʂaʔɨ				395		§392	Ch ʂaʔɨ	ʂ a ʔ ɨ - -
5654	Sharanawa	anteater		ʂ a ɨ	ʂaɨ				395		§392	Shar ʂaɨ, ʂaɨn ‘oso hormiguero’	ʂ a - ɨ - -
5655	Sharanawa	anteater		ʂ a ɨ n	ʂaɨn				395		§392	Shar ʂaɨ, ʂaɨn ‘oso hormiguero’	ʂ a - ɨ - n
5656	Shanenawa	anteater		s a ɨ	saɨ				395		§392	Shan saɨ ‘tamanduá’	s a - ɨ - -
5657	Katukina	anteater		ʂ a ɨ	ʂaɨ				395		§392	Kat ʂaɨ	ʂ a - ɨ - -
5658	Amawaka	anteater		x a ʔ ɨ	xaʔɨ		II		395		§392	A xaʔɨ II	x a ʔ ɨ - -
5659	Kaxinawa	anteater		ʂ a ɨ	ʂaɨ				395		§392	Kn ʂaɨ	ʂ a - ɨ - -
5660	Marinawa	anteater		ʂ a ɨ́/ɨ	ʂaɨ́́				395		§392	M ʂaɨ́́	ʂ a - ɨ́/ɨ - -
5661	Poyanawa	anteater		h a j	hay				395		§392	Poy hay ‘tatu bandeira’	h a j - - -
5662	Yawanawa	anteater		ʂ a ɨ	ʂaˈɨ			Souza2013	395		§392	Yaw ʂaɨ [ʂaˈɨ] ‘tamanduá-bandeira’ (SOUZA;; 2013)	ʂ a - ɨ - -
5663	Korubo	anteater		ʃ a ɨ	ʃaɨ				395		§392	Ko ʃaɨ ‘tamanduá’	ʃ a - ɨ - -
5664	Matis	anteater		ʂ a ɨ	ʂaɨ				395		§392	Mt ʂaɨ ‘tamanduá’	ʂ a - ɨ - -
5665	Korubo	anteater		ʂ a ɨ	ʂaɨ				395		§392	Ko ʂaɨ ‘tamanduá’	ʂ a - ɨ - -
5666	Mayoruna	anteater		ʂ a ɨ	ʂaɨ				395		§392	My ʂaɨ ‘gran oso hormiguero’	ʂ a - ɨ - -
#
5007	Proto-Panoan	arm		p o j a m	poyam			Oliveira2014	351		§348	*poyam ‘braço’ :	p o j a - m - - - - - - - - -
5008	Kakataibo	arm		p ɨ ɲ ã	pɨñã				351	1	§348	Ksh **pɨñã ‘brazo’	p ɨ ɲ - - - ã - - - - - - - -
5009	ShipiboKonibo	arm		p o j ã + o + p õ j ã	poyã_o_põyã				351		§348	SK poyã o põyã	p o - j - - ã - + o + p õ j ã
5010	Kapanawa	arm		p o j á/a n	poyán				351		§348	Kp poyán	p o j á/a - - - n - - - - - - -
5011	Marubo	arm		p u ɐ̃	puˈɐ̃	puˈyɐ̃		Cabral2010	351		§348	Mar puyã [puˈɐ̃] ~ [puˈyɐ̃] (CABRAL; OLIVEIRA;; 2010)	p u - - - - ɐ̃ - - - - - - - -
5012	Chakobo	arm		p o j á/a m ɨ	poyámɨ				351		§348	Ch poyámɨ ‘brazo’	p o j á/a - m ɨ - - - - - - - -
5013	Yaminawa	arm		p õ j a	põya				351		§348	Yam põya, põyamã (EAKEN;; 2008)	p õ j - - - a - - - - - - - -
5014	Yaminawa	arm		p õ j a m ã	põyamã			Eakin2008	351		§348	Yam põya, põyamã (EAKEN;; 2008)	p õ j a - m ã - - - - - - - -
5015	Chaninawa	arm		p ó/o j a n	póyan				351		§348	Chan póyan	p ó/o j a - - - n - - - - - - -
5016	Sharanawa	arm		p o j a n	poyan				351		§348	Shar poyan, poyanpan	p o j a - - - n - - - - - - -
5017	Sharanawa	arm		p o j a n p a n	poyanpan				351		§348	Shar poyan, poyanpan	p o j a n p a n - - - - - - -
5018	Katukina	arm		p u j a n	puyan				351		§348	Kat puyan, puyã [puˈyɐ̃] ~ [puˈɐ̃] (CABRAL; OLIVEIRA;; 2010)	p u j a - - - n - - - - - - -
5019	Katukina	arm		p u y ɐ̃	puˈyɐ̃	puˈɐ̃		Cabral2010	351		§348	Kat puyan, puyã [puˈyɐ̃] ~ [puˈɐ̃] (CABRAL; OLIVEIRA;; 2010)	p u - y - - ɐ̃ - - - - - - - -
5020	Poyanawa	arm		p u j ã	puyã				351		§348	Poy puyã ‘braços’	p u j - - - ã - - - - - - - -
5021	Amawaka	arm		p õ j ã	põyã_I				351		§348	A põyã I	p õ j - - - ã - - - - - - - -
5022	Kaxinawa	arm		p u j ã	puyã				351		§348	Kn puyã	p u j - - - ã - - - - - - - -
5023	Marinawa	arm		p o j ã	poyã				351		§348	M poyã ‘brazo’, **pɨ́́tao ‘ala’, **pɨ́́ya ‘pájaro’	p o j - - - ã - - - - - - - -
5024	Marinawa	arm		p ɨ́/ɨ t a o	pɨ́́tao				351	1	§348	M poyã ‘brazo’, **pɨ́́tao ‘ala’, **pɨ́́ya ‘pájaro’	p ɨ́/ɨ t a - - o - - - - - - - -
5026	Yawanawa	arm		p u i a + u m a	puia-uma				351		§348	Yaw puia-uma ‘sem braço;;  cobra’	p u - i - - a - + - - - u m a
#
2501	Marubo	arrow		k ã t i	kãti			Cabral2010	171		§168	Mar kãti ‘flecha’ (CABRAL; OLIVEIRA;; 2010)	- - - - k ã - - t i - -
4733	Proto-Panoan	arrow		p i a	pia			Oliveira2014	331		§328	*pia ‘flecha’ :	p i - a -
4734	Kakataibo	arrow		p i a	pia				331		§328	Ksh pia ‘flecha’	p i - a -
4735	ShipiboKonibo	arrow		p i a	pia				331		§328	SK pia ‘flecha’	p i - a -
4737	Chakobo	arrow		p i a	pia				331		§328	Ch pia ‘flecha’	p i - a -
